file_id	gold_project_id	file_name	file_type_description	file_size
540e31bc0d878503d1a0b662	Gp0061273	48902.assembled.fna	FASTA nucleotide sequence	32209488
53e2a0540d87856ba82b2829	Gp0061274	45824.assembled.fna	FASTA nucleotide sequence	128768461
53e29a3b0d87856ba82b27e8	Gp0061275	45825.assembled.fna	FASTA nucleotide sequence	3679140
53d880ca0d87856ba82afff1	Gp0061276	43178.assembled.fna	FASTA nucleotide sequence	7878520
53d880e40d87856ba82b002c	Gp0061277	43184.assembled.fna	FASTA nucleotide sequence	9513542
53d880dd0d87856ba82b001d	Gp0061278	43179.assembled.fna	FASTA nucleotide sequence	9006387
53d880c30d87856ba82affe3	Gp0061279	43180.assembled.fna	FASTA nucleotide sequence	7667965
53e29bd90d87856ba82b280f	Gp0061280	45826.assembled.fna	FASTA nucleotide sequence	15764197
548376070d87850ddcd6c5c3	Gp0061281	54359.assembled.fna	FASTA nucleotide sequence	14234169
53d880d70d87856ba82b000e	Gp0061282	43181.assembled.fna	FASTA nucleotide sequence	8609761
53e2966b0d87856ba82b27c5	Gp0061283	45827.assembled.fna	FASTA nucleotide sequence	500433
53d880bc0d87856ba82affd5	Gp0061284	43182.assembled.fna	FASTA nucleotide sequence	5080164
540e35940d878503d1a0b6af	Gp0061285	48903.assembled.fna	FASTA nucleotide sequence	63290654
53e29ad10d87856ba82b27f5	Gp0061286	45828.assembled.fna	FASTA nucleotide sequence	4248747
53d880cf0d87856ba82affff	Gp0061287	43183.assembled.fna	FASTA nucleotide sequence	8052905
540e29c40d878503d1a0b592	Gp0061288	48901.assembled.fna	FASTA nucleotide sequence	2386046
53e2999f0d87856ba82b27db	Gp0061289	45829.assembled.fna	FASTA nucleotide sequence	689901
540e2be20d878503d1a0b5d3	Gp0061291	48906.assembled.fna	FASTA nucleotide sequence	7598293
540e391a0d878503d1a0b6d6	Gp0061292	48905.assembled.fna	FASTA nucleotide sequence	104965783
53e29d660d87856ba82b281c	Gp0061293	45830.assembled.fna	FASTA nucleotide sequence	110632605
53e29b460d87856ba82b2802	Gp0061294	45831.assembled.fna	FASTA nucleotide sequence	6035188
5483b5a30d87850ddcd6c70e	Gp0061295	54388.assembled.fna	FASTA nucleotide sequence	48647908
543efbdd0d87852530dca901	Gp0061296	51513.assembled.fna	FASTA nucleotide sequence	33859307
54761d780d8785221c609b07	Gp0093306	54262.assembled.fna	FASTA nucleotide sequence	125320033
5498dc210d8785565d46e5f1	Gp0093307	55118.assembled.fna	FASTA nucleotide sequence	94557698
555dd8810d8785226a63d549	Gp0095966	61529.assembled.fna	FASTA nucleotide sequence	25600230
555df7b20d8785226a63d605	Gp0095967	61530.assembled.fna	FASTA nucleotide sequence	36771408
555df0d70d8785226a63d5c9	Gp0095968	61527.assembled.fna	FASTA nucleotide sequence	24015965
555df40a0d8785226a63d5eb	Gp0095969	61528.assembled.fna	FASTA nucleotide sequence	28221070
549283af0d8785565d46c599	Gp0095970	55023.assembled.fna	FASTA nucleotide sequence	29438201
5af0d97564d0b3374773e09e	Gp0095970	188301.assembled.fna	FASTA nucleotide sequence	39674798
54b5974b0d8785565d471b15	Gp0095971	56243.assembled.fna	FASTA nucleotide sequence	88548265
5518f7160d878525404e8dec	Gp0095971	59210.assembled.fna	FASTA nucleotide sequence	90946050
5af0ec3564d0b3374773e2e2	Gp0095971	188302.assembled.fna	FASTA nucleotide sequence	84225401
548587330d87850ddcd6c951	Gp0095972	55024.assembled.fna	FASTA nucleotide sequence	65524964
5af1281364d0b3374773e9b3	Gp0095972	188303.assembled.fna	FASTA nucleotide sequence	99792186
549355010d8785565d46c6ec	Gp0095973	55053.assembled.fna	FASTA nucleotide sequence	107252332
5af109fd64d0b3374773e5f5	Gp0095973	188304.assembled.fna	FASTA nucleotide sequence	121181630
5af44fd264d0b33747747dd9	Gp0108335	188315.assembled.fna	FASTA nucleotide sequence	100496223
5af0d91764d0b3374773e078	Gp0108340	188316.assembled.fna	FASTA nucleotide sequence	4324830
5af6f6bc64d0b3374774f9a5	Gp0108341	188317.assembled.fna	FASTA nucleotide sequence	578587021
5af0d80264d0b3374773e064	Gp0108342	188318.assembled.fna	FASTA nucleotide sequence	14317737
5af65c0764d0b3374774e559	Gp0108344	188319.assembled.fna	FASTA nucleotide sequence	553354926
5af575d964d0b3374774a402	Gp0108345	188320.assembled.fna	FASTA nucleotide sequence	298914547
5604ee310d87854d7418f2c8	Gp0111276	70941.assembled.fna	FASTA nucleotide sequence	860714248
5ad5e91c64d0b33747718353	Gp0111276	185795.assembled.fna	FASTA nucleotide sequence	343232080
5607ad800d878540fd6fb05e	Gp0111277	70962.assembled.fna	FASTA nucleotide sequence	1203883590
5ad71f6164d0b3374771932f	Gp0111277	185796.assembled.fna	FASTA nucleotide sequence	567627042
5604ab6a0d87854d7418f19a	Gp0111278	70942.assembled.fna	FASTA nucleotide sequence	641819042
5ad5e67f64d0b3374771832b	Gp0111278	185797.assembled.fna	FASTA nucleotide sequence	238417283
560423b50d87854d7418e6ff	Gp0111279	70943.assembled.fna	FASTA nucleotide sequence	610491342
5ad5e68964d0b3374771833e	Gp0111279	185798.assembled.fna	FASTA nucleotide sequence	246778717
5607dae70d878540fd6fb094	Gp0111280	70960.assembled.fna	FASTA nucleotide sequence	1251075216
5ad756e664d0b33747719445	Gp0111280	185799.assembled.fna	FASTA nucleotide sequence	623340463
5608063e0d878540fd6fb0c1	Gp0111281	70963.assembled.fna	FASTA nucleotide sequence	1303957224
5ad7652564d0b3374771949f	Gp0111281	185800.assembled.fna	FASTA nucleotide sequence	642826565
560487e30d87854d7418edbf	Gp0111282	70944.assembled.fna	FASTA nucleotide sequence	445586614
5ad5e4f064d0b33747718318	Gp0111282	185801.assembled.fna	FASTA nucleotide sequence	164197557
57247b2a7ded5e4fbeb81f6c	Gp0111284	83876.assembled.fna	FASTA nucleotide sequence	1265506821
56045a100d87854d7418e8ac	Gp0111285	70945.assembled.fna	FASTA nucleotide sequence	643672100
5ad5f79364d0b33747718413	Gp0111285	185802.assembled.fna	FASTA nucleotide sequence	276893363
560396130d8785306f96e9cb	Gp0111286	70940.assembled.fna	FASTA nucleotide sequence	617905536
5ad6ab0864d0b33747719081	Gp0111286	185803.assembled.fna	FASTA nucleotide sequence	290324699
5674f35f0d878518a8a3760e	Gp0111288	76335.assembled.fna	FASTA nucleotide sequence	518051716
5ad6ac6d64d0b337477190af	Gp0111288	185804.assembled.fna	FASTA nucleotide sequence	392152930
5606ac1e0d878540fd6fa817	Gp0111289	70961.assembled.fna	FASTA nucleotide sequence	550961885
5ad6aadb64d0b33747719066	Gp0111289	185805.assembled.fna	FASTA nucleotide sequence	302439517
56091c670d878540fd6fb21d	Gp0115664	71196.assembled.fna	FASTA nucleotide sequence	101443885
5af0f5b164d0b3374773e3f5	Gp0115664	187181.assembled.fna	FASTA nucleotide sequence	38810352
56090d440d878540fd6fb1fd	Gp0115675	71197.assembled.fna	FASTA nucleotide sequence	103290616
5af0f92d64d0b3374773e42e	Gp0115675	187182.assembled.fna	FASTA nucleotide sequence	42353452
5608ff060d878540fd6fb1dd	Gp0115673	71198.assembled.fna	FASTA nucleotide sequence	106369629
5af0f6d864d0b3374773e41b	Gp0115673	187183.assembled.fna	FASTA nucleotide sequence	48303223
5603c51e0d8785306f96ea13	Gp0115677	70188.assembled.fna	FASTA nucleotide sequence	631864725
5af4e9ab64d0b33747749cc5	Gp0115677	187184.assembled.fna	FASTA nucleotide sequence	225612014
561f134c0d878540fd704c99	Gp0115678	71481.assembled.fna	FASTA nucleotide sequence	455870746
5af9e01964d0b33747751f9c	Gp0115678	187185.assembled.fna	FASTA nucleotide sequence	158605974
561ef4000d878540fd704c34	Gp0115665	71480.assembled.fna	FASTA nucleotide sequence	430835931
5af1cbbb64d0b3374773fa02	Gp0115665	187186.assembled.fna	FASTA nucleotide sequence	147650400
56092ca90d878540fd6fb23d	Gp0115671	71199.assembled.fna	FASTA nucleotide sequence	141420646
5af1235864d0b3374773e949	Gp0115671	187187.assembled.fna	FASTA nucleotide sequence	56289527
56093ece0d878540fd6fb261	Gp0115666	71200.assembled.fna	FASTA nucleotide sequence	140100606
5af1399b64d0b3374773eb7d	Gp0115666	187188.assembled.fna	FASTA nucleotide sequence	61399393
560acb4d0d878540fd6fbda2	Gp0115669	71201.assembled.fna	FASTA nucleotide sequence	141474447
5af9dd2964d0b33747751f36	Gp0115669	187189.assembled.fna	FASTA nucleotide sequence	59811244
560ab92e0d878540fd6fbd39	Gp0115667	71202.assembled.fna	FASTA nucleotide sequence	131023510
5af9dcf564d0b33747751f10	Gp0115667	187190.assembled.fna	FASTA nucleotide sequence	56939111
5605485b0d87854d7418f3d3	Gp0115676	70953.assembled.fna	FASTA nucleotide sequence	249335785
5af1775764d0b3374773f253	Gp0115676	187191.assembled.fna	FASTA nucleotide sequence	89947685
5607597d0d878540fd6faeca	Gp0115668	70954.assembled.fna	FASTA nucleotide sequence	340558150
5af9dd1864d0b33747751f23	Gp0115668	187192.assembled.fna	FASTA nucleotide sequence	107487145
5605301e0d87854d7418f3a3	Gp0115663	70955.assembled.fna	FASTA nucleotide sequence	201037605
5af140ac64d0b3374773ec57	Gp0115663	187193.assembled.fna	FASTA nucleotide sequence	69796764
56076d470d878540fd6faf84	Gp0115670	70956.assembled.fna	FASTA nucleotide sequence	208793796
5af11b2864d0b3374773e85c	Gp0115670	187194.assembled.fna	FASTA nucleotide sequence	65082701
560785970d878540fd6fafd8	Gp0115672	70957.assembled.fna	FASTA nucleotide sequence	264928120
5af12baa64d0b3374773ea10	Gp0115672	187195.assembled.fna	FASTA nucleotide sequence	83127713
560518d70d87854d7418f364	Gp0115674	70952.assembled.fna	FASTA nucleotide sequence	189241899
5af1248664d0b3374773e96d	Gp0115674	187196.assembled.fna	FASTA nucleotide sequence	61813959
560409d20d8785306f96ea8c	Gp0115679	70189.assembled.fna	FASTA nucleotide sequence	622406705
5af44f6964d0b33747747daf	Gp0115679	187197.assembled.fna	FASTA nucleotide sequence	224253403
565df8df0d87851bf73629c2	Gp0115140	74361.assembled.fna	FASTA nucleotide sequence	2979987
565df8de0d87851bf73629b2	Gp0115142	74359.assembled.fna	FASTA nucleotide sequence	2983488
565df8f90d87851bf7362af7	Gp0115145	74449.assembled.fna	FASTA nucleotide sequence	2978055
565df8e70d87851bf7362a0e	Gp0115146	74396.assembled.fna	FASTA nucleotide sequence	3000805
565df8f50d87851bf7362ac2	Gp0115147	74433.assembled.fna	FASTA nucleotide sequence	2970051
565df8f60d87851bf7362ad1	Gp0115148	74435.assembled.fna	FASTA nucleotide sequence	2724226
565df8db0d87851bf736298d	Gp0115149	74354.assembled.fna	FASTA nucleotide sequence	2720515
565df8dd0d87851bf73629aa	Gp0115141	74358.assembled.fna	FASTA nucleotide sequence	2975010
565df8e50d87851bf73629f8	Gp0115203	74393.assembled.fna	FASTA nucleotide sequence	2807082
565df8dc0d87851bf73629a3	Gp0115204	74357.assembled.fna	FASTA nucleotide sequence	2818201
565df8de0d87851bf73629ba	Gp0115205	74360.assembled.fna	FASTA nucleotide sequence	2813899
565df8da0d87851bf7362985	Gp0115200	74353.assembled.fna	FASTA nucleotide sequence	3226512
56783b020d878518a8a37f6d	Gp0115160	75108.assembled.fna	FASTA nucleotide sequence	2625561
565df8eb0d87851bf7362a3e	Gp0115159	74397.assembled.fna	FASTA nucleotide sequence	2720177
56362f420d87852aea5e72dc	Gp0114941	73114.assembled.fna	FASTA nucleotide sequence	3819814
5654b7f90d878531d71e992a	Gp0115157	73166.assembled.fna	FASTA nucleotide sequence	3557550
5654b7f90d878531d71e9923	Gp0115195	73164.assembled.fna	FASTA nucleotide sequence	2765049
565df8e80d87851bf7362a16	Gp0115135	74398.assembled.fna	FASTA nucleotide sequence	4523477
565df8f70d87851bf7362ad8	Gp0115158	74436.assembled.fna	FASTA nucleotide sequence	2881716
565df8db0d87851bf7362994	Gp0114933	74355.assembled.fna	FASTA nucleotide sequence	3004262
565df8e50d87851bf73629ff	Gp0114934	74394.assembled.fna	FASTA nucleotide sequence	4157434
565df9030d87851bf7362b66	Gp0114939	74448.assembled.fna	FASTA nucleotide sequence	2060492
