Dataset ID,Omics Type,PI Sample Name,biosample_ID,new biosample object
499451,Metabolomics,S2_30_40,Gb0126457,
499452,Metabolomics,N2_30_40,Gb0126437,
499453,Metabolomics,N1_40_50,Gb0126446,
499455,Metabolomics,S3_30_40,Gb0126445,
499557,Metabolomics,N3_40_50,Gb0126427,
499558,Metabolomics,N3_30_40,Gb0126431,
499561,Metabolomics,N2_40_50,Gb0126439,
499562,Metabolomics,S2_50_60,Gb0126450,
499563,Metabolomics,N2_0_30,Gb0126443,
499565,Metabolomics,S1_30_40,Gb0126434,
499567,Metabolomics,N1_0_10,Gb0126444,
499568,Metabolomics,S1_40_50,Gb0126428,
499570,Metabolomics,S3_50_60,Gb0126453,
499571,Metabolomics,S3_10_20,Gb0126430,
499573,Metabolomics,S3_20_30,Gb0126456,
499575,Metabolomics,S2_0_10,Gb0126454,
499636,Metabolomics,S3_40_50,Gb0126433,
499639,Metabolomics,N3_20_30,Gb0126452,
499640,Metabolomics,S1_50_60,Gb0126449,
499718,Metabolomics,S1_0_10,Gb0126438,
499721,Metabolomics,N1_30_40,Gb0126440,
499722,Metabolomics,N3_50_60,Gb0126441,
499773,Metabolomics,N1_20_30,Gb0126426,
499777,Metabolomics,S1_20_30,Gb0126432,
499778,Metabolomics,S2_20_30,Gb0126424,
499780,Metabolomics,N3_0_10,Gb0126447,
499782,Metabolomics,S3_0_10,Gb0126429,
499784,Metabolomics,N3_10_20,Gb0126425,
499786,Metabolomics,S2_10_20,Gb0126448,
499789,Metabolomics,S2_40_50,Gb0126455,
499790,Metabolomics,N2_50_60,Gb0126435,
499792,Metabolomics,S1_10_20,Gb0126442,
499794,Metabolomics,N1_10_20,Gb0126436,
500088,Proteomics,N2_50_60,Gb0126435,
500090,Proteomics,S2_10_20,Gb0126448,
500091,Proteomics,N3_20_30,Gb0126452,
500093,Proteomics,S3_0_10,Gb0126429,
500094,Proteomics,N3_10_20,Gb0126425,
500095,Proteomics,S3_40_50,Gb0126433,
500096,Proteomics,S1_10_20,Gb0126442,
500097,Proteomics,S2_20_30,Gb0126424,
500098,Proteomics,N3_50_60,Gb0126441,
500099,Proteomics,N3_0_10,Gb0126447,
500100,Proteomics,S2_40_50,Gb0126455,
500101,Proteomics,N1_10_20,Gb0126436,
500102,Proteomics,N1_30_40,Gb0126440,
500103,Proteomics,S1_50_60,Gb0126449,
500160,Proteomics,S1_20_30,Gb0126432,
500161,Proteomics,S3_20_30,Gb0126456,
500162,Proteomics,N1_20_30,Gb0126426,
500163,Proteomics,N1_0_10,Gb0126444,
500164,Proteomics,S1_0_10,Gb0126438,
500165,Proteomics,N1_40_50,Gb0126446,
500166,Proteomics,S1_40_50,Gb0126428,
500167,Proteomics,S2_30_40,Gb0126457,
500829,Proteomics,N3_30_40,Gb0126431,
500830,Proteomics,S3_30_40,Gb0126445,
500831,Proteomics,N2_0_30,Gb0126443,
500832,Proteomics,N1_50_60,63ca34da-6647-11eb-ae93-0242ac130002,TRUE
500833,Proteomics,S3_50_60,Gb0126453,
500834,Proteomics,S2_0_10,Gb0126454,
500835,Proteomics,S3_10_20,Gb0126430,
500836,Proteomics,N2_30_40,Gb0126437,
500837,Proteomics,N3_40_50,Gb0126427,
501128,Proteomics,N2_40_50,Gb0126439,
501132,Proteomics,S1_30_40,Gb0126434,
501138,Proteomics,S2_50_60,Gb0126450,
501139,Metabolomics,N1_50_60,63ca34da-6647-11eb-ae93-0242ac130002,TRUE
502966,Proteomics,S2_20_30,Gb0126424,
504850,Proteomics,N1_0_10,Gb0126444,
511397,Lipidomics,N3_0_10,Gb0126447,
511400,Lipidomics,S1_50_60,Gb0126449,
511401,Lipidomics,N1_50_60,63ca34da-6647-11eb-ae93-0242ac130002,TRUE
511402,Lipidomics,S2_40_50,Gb0126455,
511403,Lipidomics,N1_10_20,Gb0126436,
511404,Lipidomics,N2_40_50,Gb0126439,
511405,Lipidomics,S3_30_40,Gb0126445,
511406,Lipidomics,N1_0_10,Gb0126444,
511447,Lipidomics,S3_50_60,Gb0126453,
511448,Lipidomics,S2_20_30,Gb0126424,
511449,Lipidomics,S3_40_50,Gb0126433,
511450,Lipidomics,N3_40_50,Gb0126427,
511451,Lipidomics,N1_20_30,Gb0126426,
511452,Lipidomics,N1_30_40,Gb0126440,
511453,Lipidomics,S3_0_10,Gb0126429,
511454,Lipidomics,N2_50_60,Gb0126435,
511455,Lipidomics,S1_20_30,Gb0126432,
