Dataset ID	NMDC Dataset ID	Dataset Name	sample_name	sample_extid	sequencing_project_name	sequencing_project_extid	proposal_extid	genome directory	GOLD Biosample ID	GOLD Project ID
404590	emsl:404590	FECB_21_5093B_01_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404522	emsl:404522	FECB_21_5093B_02_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404510	emsl:404510	FECB_21_5093B_03_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404577	emsl:404577	FECB_21_5093B_04_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404531	emsl:404531	FECB_21_5093B_05_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404518	emsl:404518	FECB_21_5093B_06_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404433	emsl:404433	FECB_21_5093B_07_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404445	emsl:404445	FECB_21_5093B_08_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404514	emsl:404514	FECB_21_5093B_09_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404535	emsl:404535	FECB_21_5093B_10_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404418	emsl:404418	FECB_21_5093B_11_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404422	emsl:404422	FECB_21_5093B_12_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404352	emsl:404352	FECB_21_5093B_Run1_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404365	emsl:404365	FECB_21_5093B_Run2_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
404390	emsl:404390	FECB_21_5093B_Run3_23Dec14_Tiger_14-11-12	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
367262	emsl:367262	Hess_48099_5093-B_Prot_Run1_25Mar14_Frodo_14-01-31	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
367259	emsl:367259	Hess_48099_5093-B_Prot_Run2_25Mar14_Frodo_14-01-31	FECB-21_BG11	65601	FECB-21 metaG	1045042	1393	1393_65601	Gb0095970	Gp0095970
367505	emsl:367505	Hess_48099_5097-A_Prot_Run1_25Mar14_Frodo_14-01-31	FECB-22_BG11	65602	FECB-22 metaG	1045045	1393	1393_65602	Gb0095971	Gp0095971
367504	emsl:367504	Hess_48099_5097-A_Prot_Run2_25Mar14_Frodo_14-01-31	FECB-22_BG11	65602	FECB-22 metaG	1045045	1393	1393_65602	Gb0095971	Gp0095971
404637	emsl:404637	FECB_24_5098A_01_23Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404602	emsl:404602	FECB_24_5098A_02_23Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
405162	emsl:405162	FECB_24_5098A_03_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404646	emsl:404646	FECB_24_5098A_04_23Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404769	emsl:404769	FECB_24_5098A_05_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404669	emsl:404669	FECB_24_5098A_06_23Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404757	emsl:404757	FECB_24_5098A_06_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
405192	emsl:405192	FECB_24_5098A_07_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404616	emsl:404616	FECB_24_5098A_08_23Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404799	emsl:404799	FECB_24_5098A_09_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
404816	emsl:404816	FECB_24_5098A_10_31Dec14_Tiger_14-11-12	FECB-24_BG11	65603	FECB-24 metaG	1045048	1393	1393_65603	Gb0095972	Gp0095972
