file_id	gold_project_id	file_name	file_type_description	file_size
540e31bb0d878503d1a0b65a	Gp0061273	48902.assembled.faa	FASTA amino acid sequence	9816417
53e2a0510d87856ba82b2821	Gp0061274	45824.assembled.faa	FASTA amino acid sequence	42800392
53e29a370d87856ba82b27e0	Gp0061275	45825.assembled.faa	FASTA amino acid sequence	960766
53d880c60d87856ba82affe9	Gp0061276	43178.assembled.faa	FASTA amino acid sequence	2127950
53d880e10d87856ba82b0024	Gp0061277	43184.assembled.faa	FASTA amino acid sequence	2882125
53d880da0d87856ba82b0015	Gp0061278	43179.assembled.faa	FASTA amino acid sequence	2602675
53d880c00d87856ba82affdb	Gp0061279	43180.assembled.faa	FASTA amino acid sequence	2153477
53e29bd60d87856ba82b2807	Gp0061280	45826.assembled.faa	FASTA amino acid sequence	4506777
548376070d87850ddcd6c5ba	Gp0061281	54359.assembled.faa	FASTA amino acid sequence	2618161
53d880d30d87856ba82b0006	Gp0061282	43181.assembled.faa	FASTA amino acid sequence	2436449
53e296670d87856ba82b27bd	Gp0061283	45827.assembled.faa	FASTA amino acid sequence	126786
53d880b90d87856ba82affcd	Gp0061284	43182.assembled.faa	FASTA amino acid sequence	1337578
540e35940d878503d1a0b6a7	Gp0061285	48903.assembled.faa	FASTA amino acid sequence	20286461
53e29acd0d87856ba82b27ed	Gp0061286	45828.assembled.faa	FASTA amino acid sequence	1150609
53d880cc0d87856ba82afff7	Gp0061287	43183.assembled.faa	FASTA amino acid sequence	2207368
540e29c40d878503d1a0b58a	Gp0061288	48901.assembled.faa	FASTA amino acid sequence	610282
53e2999b0d87856ba82b27d3	Gp0061289	45829.assembled.faa	FASTA amino acid sequence	191786
540e2be20d878503d1a0b5cb	Gp0061291	48906.assembled.faa	FASTA amino acid sequence	2202447
540e391a0d878503d1a0b6ce	Gp0061292	48905.assembled.faa	FASTA amino acid sequence	35557439
53e29d630d87856ba82b2814	Gp0061293	45830.assembled.faa	FASTA amino acid sequence	37337301
53e29b420d87856ba82b27fa	Gp0061294	45831.assembled.faa	FASTA amino acid sequence	1763032
5483b5a30d87850ddcd6c705	Gp0061295	54388.assembled.faa	FASTA amino acid sequence	15006083
543efbdd0d87852530dca8f9	Gp0061296	51513.assembled.faa	FASTA amino acid sequence	11245220
54761d780d8785221c609aff	Gp0093306	54262.assembled.faa	FASTA amino acid sequence	40544070
